| trozo | bits | words | alphabet size | IM(LP,VD) |   
 | G| 3 | 248 | 5 | 0.5860052593998812 |  
 | G| 4 | 248 | 5 | 3.184915502592448 |  
 | G| 5 | 248 | 5 | 6.914191794372126 |  
 | G| 6 | 248 | 5 | 10.002779936464583 |  
 | G| 7 | 248 | 5 | 11.822029571831516 |  
 | G| 8 | 248 | 5 | 12.548229784721503 |  
 | G| 1 | 66 | 10 | 0.0035786839044034124 |  
 | G| 2 | 66 | 10 | 0.08460242289471509 |  
 | G| 3 | 66 | 10 | 1.80307331543586 |  
 | G| 4 | 66 | 10 | 6.445952829493091 |  
 | G| 5 | 66 | 10 | 10.888901549815175 |  
 | G| 6 | 66 | 10 | 13.529780346698837 |  
 | G| 7 | 66 | 10 | 14.506668707097429 |  
 | G| 8 | 66 | 10 | 14.691858597352342 |  
 | G| 1 | 93 | 10 | 0.0025979164915019837 |  
 | G| 2 | 93 | 10 | 0.10372699106430083 |  
 | G| 3 | 93 | 10 | 1.7751611844906225 |  
 | G| 4 | 93 | 10 | 6.007876898902136 |  
 | G| 5 | 93 | 10 | 10.112216015017303 |  
 | G| 6 | 93 | 10 | 12.599022602184968 |  
 | G| 7 | 93 | 10 | 13.751762216240092 |  
 | G| 8 | 93 | 10 | 14.148303585034547 |  
 | G| 1 | 248 | 10 | 0.0031999120538808157 |  
 | G| 2 | 248 | 10 | 0.23019959175370452 |  
 | G| 3 | 248 | 10 | 2.9583217458783544 |  
 | G| 4 | 248 | 10 | 7.775434718404904 |  
 | G| 5 | 248 | 10 | 11.217138667219219 |  
 | G| 6 | 248 | 10 | 12.666265878970885 |  
 | G| 7 | 248 | 10 | 13.011372874475315 |  
 | G| 8 | 248 | 10 | 12.971670082320308 |  
 | G| 1 | 66 | 20 | 0.005124931252082021 |  
 | G| 2 | 66 | 20 | 0.6268700860983252 |  
 | G| 3 | 66 | 20 | 6.142163616636093 |  
 | G| 4 | 66 | 20 | 12.162779436022925 |  
 | G| 5 | 66 | 20 | 14.80569517452694 |  
 | G| 6 | 66 | 20 | 15.18058620616491 |  
 | G| 7 | 66 | 20 | 15.077938236441621 |  
 | G| 8 | 66 | 20 | 14.911714854813889 |  
 | G| 1 | 93 | 20 | 0.004412120353683768 |  
 | G| 2 | 93 | 20 | 0.7743603531339005 |  
 | G| 3 | 93 | 20 | 6.505231107559526 |  
 | G| 4 | 93 | 20 | 12.116640712087463 |  
 | G| 5 | 93 | 20 | 14.365656765552881 |  
 | G| 6 | 93 | 20 | 14.730063185787497 |  
 | G| 7 | 93 | 20 | 14.603832058231436 |  
 | G| 8 | 93 | 20 | 14.424503449320325 |  
 | G| 1 | 248 | 20 | 0.0061588624721053975 |  
 | G| 2 | 248 | 20 | 1.5208236327682503 |  
 | G| 3 | 248 | 20 | 8.30840510097624 |  
 | G| 4 | 248 | 20 | 12.715696841784856 |  
 | G| 5 | 248 | 20 | 13.554978382423524 |  
 | G| 6 | 248 | 20 | 13.411675824379005 |  
 | G| 7 | 248 | 20 | 13.202840997238576 |  
 | G| 8 | 248 | 20 | 13.0113345137833 |  
 | G| 1 | 66 | 50 | 0.011551791009663859 |  
 | G| 2 | 66 | 50 | 3.055780814245491 |  
 | G| 3 | 66 | 50 | 11.255708040195657 |  
 | G| 4 | 66 | 50 | 14.905466984414861 |  
 | G| 5 | 66 | 50 | 15.460422336875213 |  
 | G| 6 | 66 | 50 | 15.318633606349803 |  
 | G| 7 | 66 | 50 | 15.11265215603812 |  
 | G| 8 | 66 | 50 | 14.921053807632985 |  
 | G| 1 | 93 | 50 | 0.013848690209110615 |  
 | G| 2 | 93 | 50 | 3.555942153230273 |  
 | G| 3 | 93 | 50 | 11.780124006572116 |  
 | G| 4 | 93 | 50 | 14.89037375279692 |  
 | G| 5 | 93 | 50 | 15.059765297436794 |  
 | G| 6 | 93 | 50 | 14.838180608798826 |  
 | G| 7 | 93 | 50 | 14.618927755096315 |  
 | G| 8 | 93 | 50 | 14.426592364446785 |  
 | G| 1 | 248 | 50 | 0.030383044492735323 |  
 | G| 2 | 248 | 50 | 4.880680346044221 |  
 | G| 3 | 248 | 50 | 12.287520077380595 |  
 | G| 4 | 248 | 50 | 13.865996487237746 |  
 | G| 5 | 248 | 50 | 13.682446510117469 |  
 | G| 6 | 248 | 50 | 13.42616354236299 |  
 | G| 7 | 248 | 50 | 13.204112587786417 |  
 | G| 8 | 248 | 50 | 13.011576703175404 |  
