
    =======================================================================================
        Calculando umbrales de ./DatosSinapsisArtificial/TrozoC.zip para la neurona LP
    =======================================================================================
        
 Distancia del umbral bajo | Distancia alta | Umbral bajo| Umbral alto| Número de *spikes*
2.57 | 1.4| -0.041 | 0.090 | 29796  
2.57 | 1.956| -0.041 | 0.108 | 23391  
2.57 | 2.57| -0.041 | 0.128 | 22484  
2.57 | 3.891| -0.041 | 0.172 | 22357  
2.57 | 4.892| -0.041 | 0.205 | 22318  
2.57 | 5.326| -0.041 | 0.219 | 22288  
3.891 | 1.281| -0.084 | 0.086 | 28061  
3.891 | 1.645| -0.084 | 0.098 | 23717  
3.891 | 1.4| -0.084 | 0.090 | 26241  
3.891 | 1.956| -0.084 | 0.108 | 21945  
3.891 | 2.57| -0.084 | 0.128 | 21324  
3.891 | 3.891| -0.084 | 0.172 | 21265  
3.891 | 4.892| -0.084 | 0.205 | 21246  
3.891 | 5.326| -0.084 | 0.219 | 21244  
4.892 | 1.281| -0.117 | 0.086 | 12175  
4.892 | 1.645| -0.117 | 0.098 | 11921  
4.892 | 1.4| -0.117 | 0.090 | 12069  
4.892 | 1.956| -0.117 | 0.108 | 11801  
4.892 | 2.57| -0.117 | 0.128 | 11748  
4.892 | 3.891| -0.117 | 0.172 | 11728  
4.892 | 4.892| -0.117 | 0.205 | 11719  
4.892 | 5.326| -0.117 | 0.219 | 11719  
5.326 | 1.281| -0.131 | 0.086 | 5673  
5.326 | 1.645| -0.131 | 0.098 | 5647  
5.326 | 1.4| -0.131 | 0.090 | 5668  
5.326 | 1.956| -0.131 | 0.108 | 5637  
5.326 | 2.57| -0.131 | 0.128 | 5632  
5.326 | 3.891| -0.131 | 0.172 | 5621  
5.326 | 4.892| -0.131 | 0.205 | 5613  
5.326 | 5.326| -0.131 | 0.219 | 5613  


    =======================================================================================
        Calculando umbrales de ./DatosSinapsisArtificial/TrozoR.zip para la neurona LP
    =======================================================================================
        
 Distancia del umbral bajo | Distancia alta | Umbral bajo| Umbral alto| Número de *spikes*
:-: |:-: |:-: |:-: |:-:   
1.281 | 1.281| -0.283 | 0.216 | 97572  
1.281 | 1.645| -0.283 | 0.287 | 70454  
1.281 | 1.4| -0.283 | 0.239 | 89176  
1.281 | 1.956| -0.283 | 0.348 | 53151  
1.281 | 2.57| -0.283 | 0.467 | 33900  
1.281 | 3.891| -0.283 | 0.725 | 25571  
1.281 | 4.892| -0.283 | 0.920 | 24248  
1.281 | 5.326| -0.283 | 1.004 | 22390  
1.645 | 1.281| -0.354 | 0.216 | 73593  
1.645 | 1.645| -0.354 | 0.287 | 58852  
1.645 | 1.4| -0.354 | 0.239 | 69000  
1.645 | 1.956| -0.354 | 0.348 | 48757  
1.645 | 2.57| -0.354 | 0.467 | 33684  
1.645 | 3.891| -0.354 | 0.725 | 25569  
1.645 | 4.892| -0.354 | 0.920 | 24248  
1.645 | 5.326| -0.354 | 1.004 | 22390  
1.4 | 1.281| -0.306 | 0.216 | 90145  
1.4 | 1.645| -0.306 | 0.287 | 67590  
1.4 | 1.4| -0.306 | 0.239 | 83219  
1.4 | 1.956| -0.306 | 0.348 | 52341  
1.4 | 2.57| -0.306 | 0.467 | 33864  
1.4 | 3.891| -0.306 | 0.725 | 25571  
1.4 | 4.892| -0.306 | 0.920 | 24248  
1.4 | 5.326| -0.306 | 1.004 | 22390  
1.956 | 1.281| -0.415 | 0.216 | 58975  
1.956 | 1.645| -0.415 | 0.287 | 48397  
1.956 | 1.4| -0.415 | 0.239 | 55450  
1.956 | 1.956| -0.415 | 0.348 | 42416  
1.956 | 2.57| -0.415 | 0.467 | 32857  
1.956 | 3.891| -0.415 | 0.725 | 25547  
1.956 | 4.892| -0.415 | 0.920 | 24239  
1.956 | 5.326| -0.415 | 1.004 | 22389  
2.57 | 1.281| -0.534 | 0.216 | 45236  
2.57 | 1.645| -0.534 | 0.287 | 36911  
2.57 | 1.4| -0.534 | 0.239 | 42264  
2.57 | 1.956| -0.534 | 0.348 | 33329  
2.57 | 2.57| -0.534 | 0.467 | 29663  
2.57 | 3.891| -0.534 | 0.725 | 25258  
2.57 | 4.892| -0.534 | 0.920 | 24076  
2.57 | 5.326| -0.534 | 1.004 | 22299  
3.891 | 1.281| -0.792 | 0.216 | 3026  
3.891 | 1.645| -0.792 | 0.287 | 3011  
3.891 | 1.4| -0.792 | 0.239 | 3025  
3.891 | 1.956| -0.792 | 0.348 | 2993  
3.891 | 2.57| -0.792 | 0.467 | 2963  
3.891 | 3.891| -0.792 | 0.725 | 2937  
3.891 | 4.892| -0.792 | 0.920 | 2927  
3.891 | 5.326| -0.792 | 1.004 | 2909  
4.892 | 1.281| -0.987 | 0.216 | 167  
4.892 | 1.645| -0.987 | 0.287 | 167  
4.892 | 1.4| -0.987 | 0.239 | 167  
4.892 | 1.956| -0.987 | 0.348 | 167  
4.892 | 2.57| -0.987 | 0.467 | 166  
4.892 | 3.891| -0.987 | 0.725 | 166  
4.892 | 4.892| -0.987 | 0.920 | 166  
4.892 | 5.326| -0.987 | 1.004 | 166  
5.326 | 1.281| -1.071 | 0.216 | 46  
5.326 | 1.645| -1.071 | 0.287 | 46  
5.326 | 1.4| -1.071 | 0.239 | 46  
5.326 | 1.956| -1.071 | 0.348 | 46  
5.326 | 2.57| -1.071 | 0.467 | 46  
5.326 | 3.891| -1.071 | 0.725 | 46  
5.326 | 4.892| -1.071 | 0.920 | 46  
5.326 | 5.326| -1.071 | 1.004 | 46  


    =======================================================================================
        Calculando umbrales de ./DatosSinapsisArtificial/TrozoR.zip para la neurona VD
    =======================================================================================
        
 Distancia del umbral bajo | Distancia alta | Umbral bajo| Umbral alto| Número de *spikes*
:-: |:-: |:-: |:-: |:-:   
1.281 | 1.281| 0.001 | 0.086 | 37189  
1.281 | 1.645| 0.001 | 0.098 | 23641  
1.281 | 1.4| 0.001 | 0.090 | 31884  
1.281 | 1.956| 0.001 | 0.109 | 19765  
1.281 | 2.57| 0.001 | 0.129 | 18854  
1.281 | 3.891| 0.001 | 0.173 | 18705  
1.281 | 4.892| 0.001 | 0.206 | 18663  
1.281 | 5.326| 0.001 | 0.220 | 18632  
1.645 | 1.281| -0.011 | 0.086 | 28713  
1.645 | 1.645| -0.011 | 0.098 | 22327  
1.645 | 1.4| -0.011 | 0.090 | 26161  
1.645 | 1.956| -0.011 | 0.109 | 19693  
1.645 | 2.57| -0.011 | 0.129 | 18846  
1.645 | 3.891| -0.011 | 0.173 | 18704  
1.645 | 4.892| -0.011 | 0.206 | 18663  
1.645 | 5.326| -0.011 | 0.220 | 18632  
1.4 | 1.281| -0.002 | 0.086 | 32905  
1.4 | 1.645| -0.002 | 0.098 | 23180  
1.4 | 1.4| -0.002 | 0.090 | 29306  
1.4 | 1.956| -0.002 | 0.109 | 19744  
1.4 | 2.57| -0.002 | 0.129 | 18852  
1.4 | 3.891| -0.002 | 0.173 | 18705  
1.4 | 4.892| -0.002 | 0.206 | 18663  
1.4 | 5.326| -0.002 | 0.220 | 18632  
1.956 | 1.281| -0.021 | 0.086 | 27512  
1.956 | 1.645| -0.021 | 0.098 | 21846  
1.956 | 1.4| -0.021 | 0.090 | 25143  
1.956 | 1.956| -0.021 | 0.109 | 19615  
1.956 | 2.57| -0.021 | 0.129 | 18838  
1.956 | 3.891| -0.021 | 0.173 | 18704  
1.956 | 4.892| -0.021 | 0.206 | 18663  
1.956 | 5.326| -0.021 | 0.220 | 18632  
2.57 | 1.281| -0.041 | 0.086 | 27159  
2.57 | 1.645| -0.041 | 0.098 | 21603  
2.57 | 1.4| -0.041 | 0.090 | 24817  
2.57 | 1.956| -0.041 | 0.109 | 19482  
2.57 | 2.57| -0.041 | 0.129 | 18799  
2.57 | 3.891| -0.041 | 0.173 | 18688  
2.57 | 4.892| -0.041 | 0.206 | 18654  
2.57 | 5.326| -0.041 | 0.220 | 18626  
3.891 | 1.281| -0.085 | 0.086 | 23076  
3.891 | 1.645| -0.085 | 0.098 | 19535  
3.891 | 1.4| -0.085 | 0.090 | 21615  
3.891 | 1.956| -0.085 | 0.109 | 18139  
3.891 | 2.57| -0.085 | 0.129 | 17686  
3.891 | 3.891| -0.085 | 0.173 | 17636  
3.891 | 4.892| -0.085 | 0.206 | 17618  
3.891 | 5.326| -0.085 | 0.220 | 17616  
4.892 | 1.281| -0.118 | 0.086 | 9482  
4.892 | 1.645| -0.118 | 0.098 | 9284  
4.892 | 1.4| -0.118 | 0.090 | 9401  
4.892 | 1.956| -0.118 | 0.109 | 9201  
4.892 | 2.57| -0.118 | 0.129 | 9167  
4.892 | 3.891| -0.118 | 0.173 | 9148  
4.892 | 4.892| -0.118 | 0.206 | 9139  
4.892 | 5.326| -0.118 | 0.220 | 9139  
5.326 | 1.281| -0.133 | 0.086 | 4443  
5.326 | 1.645| -0.133 | 0.098 | 4420  
5.326 | 1.4| -0.133 | 0.090 | 4438  
5.326 | 1.956| -0.133 | 0.109 | 4411  
5.326 | 2.57| -0.133 | 0.129 | 4406  
5.326 | 3.891| -0.133 | 0.173 | 4396  
5.326 | 4.892| -0.133 | 0.206 | 4389  
5.326 | 5.326| -0.133 | 0.220 | 4389  


    =======================================================================================
        Calculando umbrales de ./DatosSinapsisArtificial/TrozoG.zip para la neurona LP
    =======================================================================================
    
 Distancia del umbral bajo | Distancia alta | Umbral bajo| Umbral alto| Número de *spikes*
:-: |:-: |:-: |:-: |:-:   
1.281 | 1.281| -0.104 | 0.104 | 104888  
1.281 | 1.645| -0.104 | 0.133 | 68612  
1.281 | 1.4| -0.104 | 0.114 | 92078  
1.281 | 1.956| -0.104 | 0.159 | 51140  
1.281 | 2.57| -0.104 | 0.208 | 36986  
1.281 | 3.891| -0.104 | 0.316 | 27454  
1.281 | 4.892| -0.104 | 0.397 | 26457  
1.281 | 5.326| -0.104 | 0.432 | 26051  
1.645 | 1.281| -0.133 | 0.104 | 81156  
1.645 | 1.645| -0.133 | 0.133 | 60412  
1.645 | 1.4| -0.133 | 0.114 | 74105  
1.645 | 1.956| -0.133 | 0.159 | 48783  
1.645 | 2.57| -0.133 | 0.208 | 36803  
1.645 | 3.891| -0.133 | 0.316 | 27453  
1.645 | 4.892| -0.133 | 0.397 | 26457  
1.645 | 5.326| -0.133 | 0.432 | 26051  
1.4 | 1.281| -0.114 | 0.104 | 96386  
1.4 | 1.645| -0.114 | 0.133 | 66324  
1.4 | 1.4| -0.114 | 0.114 | 86071  
1.4 | 1.956| -0.114 | 0.159 | 50638  
1.4 | 2.57| -0.114 | 0.208 | 36965  
1.4 | 3.891| -0.114 | 0.316 | 27454  
1.4 | 4.892| -0.114 | 0.397 | 26457  
1.4 | 5.326| -0.114 | 0.432 | 26051  
1.956 | 1.281| -0.159 | 0.104 | 66653  
1.956 | 1.645| -0.159 | 0.133 | 51944  
1.956 | 1.4| -0.159 | 0.114 | 61382  
1.956 | 1.956| -0.159 | 0.159 | 44720  
1.956 | 2.57| -0.159 | 0.208 | 35915  
1.956 | 3.891| -0.159 | 0.316 | 27453  
1.956 | 4.892| -0.159 | 0.397 | 26457  
1.956 | 5.326| -0.159 | 0.432 | 26051  
2.57 | 1.281| -0.208 | 0.104 | 53512  
2.57 | 1.645| -0.208 | 0.133 | 41501  
2.57 | 1.4| -0.208 | 0.114 | 48946  
2.57 | 1.956| -0.208 | 0.159 | 37295  
2.57 | 2.57| -0.208 | 0.208 | 32872  
2.57 | 3.891| -0.208 | 0.316 | 27425  
2.57 | 4.892| -0.208 | 0.397 | 26456  
2.57 | 5.326| -0.208 | 0.432 | 26050  
3.891 | 1.281| -0.316 | 0.104 | 40285  
3.891 | 1.645| -0.316 | 0.133 | 33357  
3.891 | 1.4| -0.316 | 0.114 | 37792  
3.891 | 1.956| -0.316 | 0.159 | 31056  
3.891 | 2.57| -0.316 | 0.208 | 28910  
3.891 | 3.891| -0.316 | 0.316 | 26516  
3.891 | 4.892| -0.316 | 0.397 | 25889  
3.891 | 5.326| -0.316 | 0.432 | 25547  
4.892 | 1.281| -0.397 | 0.104 | 4852  
4.892 | 1.645| -0.397 | 0.133 | 4824  
4.892 | 1.4| -0.397 | 0.114 | 4849  
4.892 | 1.956| -0.397 | 0.159 | 4777  
4.892 | 2.57| -0.397 | 0.208 | 4726  
4.892 | 3.891| -0.397 | 0.316 | 4676  
4.892 | 4.892| -0.397 | 0.397 | 4659  
4.892 | 5.326| -0.397 | 0.432 | 4649  
5.326 | 1.281| -0.432 | 0.104 | 2055  
5.326 | 1.645| -0.432 | 0.133 | 2053  
5.326 | 1.4| -0.432 | 0.114 | 2055  
5.326 | 1.956| -0.432 | 0.159 | 2042  
5.326 | 2.57| -0.432 | 0.208 | 2034  
5.326 | 3.891| -0.432 | 0.316 | 2021  
5.326 | 4.892| -0.432 | 0.397 | 2021  
5.326 | 5.326| -0.432 | 0.432 | 2021  


    =======================================================================================
        Calculando umbrales de ./DatosSinapsisArtificial/TrozoG.zip para la neurona VD
    =======================================================================================
    
 Distancia del umbral bajo | Distancia alta | Umbral bajo| Umbral alto| Número de *spikes*
:-: |:-: |:-: |:-: |:-:   
1.281 | 1.281| 0.001 | 0.086 | 28195  
1.281 | 1.645| 0.001 | 0.098 | 18800  
1.281 | 1.4| 0.001 | 0.090 | 24436  
1.281 | 1.956| 0.001 | 0.109 | 16283  
1.281 | 2.57| 0.001 | 0.129 | 15689  
1.281 | 3.891| 0.001 | 0.173 | 15662  
1.281 | 4.892| 0.001 | 0.207 | 15661  
1.281 | 5.326| 0.001 | 0.221 | 15660  
1.645 | 1.281| -0.012 | 0.086 | 23705  
1.645 | 1.645| -0.012 | 0.098 | 18253  
1.645 | 1.4| -0.012 | 0.090 | 21474  
1.645 | 1.956| -0.012 | 0.109 | 16251  
1.645 | 2.57| -0.012 | 0.129 | 15689  
1.645 | 3.891| -0.012 | 0.173 | 15662  
1.645 | 4.892| -0.012 | 0.207 | 15661  
1.645 | 5.326| -0.012 | 0.221 | 15660  
1.4 | 1.281| -0.003 | 0.086 | 25590  
1.4 | 1.645| -0.003 | 0.098 | 18574  
1.4 | 1.4| -0.003 | 0.090 | 22878  
1.4 | 1.956| -0.003 | 0.109 | 16269  
1.4 | 2.57| -0.003 | 0.129 | 15689  
1.4 | 3.891| -0.003 | 0.173 | 15662  
1.4 | 4.892| -0.003 | 0.207 | 15661  
1.4 | 5.326| -0.003 | 0.221 | 15660  
1.956 | 1.281| -0.022 | 0.086 | 23312  
1.956 | 1.645| -0.022 | 0.098 | 18137  
1.956 | 1.4| -0.022 | 0.090 | 21163  
1.956 | 1.956| -0.022 | 0.109 | 16230  
1.956 | 2.57| -0.022 | 0.129 | 15689  
1.956 | 3.891| -0.022 | 0.173 | 15662  
1.956 | 4.892| -0.022 | 0.207 | 15661  
1.956 | 5.326| -0.022 | 0.221 | 15660  
2.57 | 1.281| -0.042 | 0.086 | 23229  
2.57 | 1.645| -0.042 | 0.098 | 18107  
2.57 | 1.4| -0.042 | 0.090 | 21089  
2.57 | 1.956| -0.042 | 0.109 | 16226  
2.57 | 2.57| -0.042 | 0.129 | 15689  
2.57 | 3.891| -0.042 | 0.173 | 15662  
2.57 | 4.892| -0.042 | 0.207 | 15661  
2.57 | 5.326| -0.042 | 0.221 | 15660  
3.891 | 1.281| -0.087 | 0.086 | 22593  
3.891 | 1.645| -0.087 | 0.098 | 17877  
3.891 | 1.4| -0.087 | 0.090 | 20637  
3.891 | 1.956| -0.087 | 0.109 | 16102  
3.891 | 2.57| -0.087 | 0.129 | 15598  
3.891 | 3.891| -0.087 | 0.173 | 15571  
3.891 | 4.892| -0.087 | 0.207 | 15571  
3.891 | 5.326| -0.087 | 0.221 | 15571  
4.892 | 1.281| -0.120 | 0.086 | 15080  
4.892 | 1.645| -0.120 | 0.098 | 13814  
4.892 | 1.4| -0.120 | 0.090 | 14584  
4.892 | 1.956| -0.120 | 0.109 | 13283  
4.892 | 2.57| -0.120 | 0.129 | 13137  
4.892 | 3.891| -0.120 | 0.173 | 13127  
4.892 | 4.892| -0.120 | 0.207 | 13127  
4.892 | 5.326| -0.120 | 0.221 | 13127  
5.326 | 1.281| -0.134 | 0.086 | 9828  
5.326 | 1.645| -0.134 | 0.098 | 9566  
5.326 | 1.4| -0.134 | 0.090 | 9730  
5.326 | 1.956| -0.134 | 0.109 | 9459  
5.326 | 2.57| -0.134 | 0.129 | 9427  
5.326 | 3.891| -0.134 | 0.173 | 9424  
5.326 | 4.892| -0.134 | 0.207 | 9424  
5.326 | 5.326| -0.134 | 0.221 | 9424  

